Produit;Type of Food (100g);Energy (Kcal);Protein (g);Fat (g);Water (g);Vitamin A (mg);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin C;
P457;Weetabix breakfast cereal;340;11,5;3,5;3,8;0;1;1,5;0;
P458;White currants;30;1,5;0;83;0;0,04;0,06;40;
P459;Whitebait, fried in flour;530;20;48;24;0;0;0;0;
P460;Whiting, fried in breadcrumbs;190;18;10;63;0;0,1;0,2;0;
P461;Whiting, steamed;90;21;1;77;0;0,1;20;0;
P462;Wine, white, sweet;100;0;0;100;0;0;0;0;
P463;Wine, red;70;0;0;100;0;0;0;0;
P464;Wine, white, dry;65;0;0;100;0;0;0;0;
P465;Yam, boiled;120;1,5;0;66;0;0,05;0;2;
P466;Yam, raw;130;2;0;73;0;0,05;0;2;
P467;Yoghurt, flavoured;80;5;1;79;0;0,05;0,25;0;
P468;Yoghurt, natural;50;5;1;86;0;0,05;0,3;0;
P469;Yorkshire pudding;200;7;10;56;40;0,1;0,2;0;
